name,color_id,cmc,mana_cost,test,rarety,subtype,toughness
Acorn Catapult,[],4.0,{4},"{1}, {T}: Acorn Catapult deals 1 damage to target creature or player. That creature's controller or that player puts a 1/1 green Squirrel creature token onto the battlefield.",Rare,[],
Sol Ring,[],1.0,{1},Add 2 colorless mana to your mana pool. Tapping this artifact can be played as an interrupt.,Uncommon,[],
Command Tower,[],0.0,,{T}: Add to your mana pool one mana of any color in your commander's color identity.,Common,[],
Lightning Greaves,[],2.0,{2},"Equipped creature has shroud and haste.
Equip {0}",Uncommon,['Equipment'],
Spawnwrithe,['G'],3.0,{2}{G},"Trample
Whenever Spawnwrithe deals combat damage to a player, put a token that's a copy of Spawnwrithe onto the battlefield.",Rare,['Elemental'],2
Howling Mine,[],2.0,{2},"At the beginning of each player's draw step, if Howling Mine is untapped, that player draws a card.",Rare,[],
Cultivate,['G'],3.0,{2}{G},"Search your library for up to two basic land cards, reveal those cards, and put one onto the battlefield tapped and the other into your hand. Then shuffle your library.",Common,[],
Scavenging Ooze,['G'],2.0,{1}{G},"{G}: Exile target card from a graveyard. If it was a creature card, put a +1/+1 counter on Scavenging Ooze and you gain 1 life.",Rare,['Ooze'],2
Brainstorm,['U'],1.0,{U},"Draw three cards. Then, put any two cards from your hand on top of your library in any order.",Common,[],
Vivid Grove,['G'],0.0,,"Vivid Grove enters the battlefield tapped with two charge counters on it.{T}: Add {G} to your mana pool.{T}, Remove a charge counter from Vivid Grove: Add one mana of any color to your mana pool.",Uncommon,[],
Minds Aglow,['U'],1.0,{U},"Join forces — Starting with you, each player may pay any amount of mana. Each player draws X cards, where X is the total amount of mana paid this way.",Rare,[],
Trench Gorger,['U'],8.0,{6}{U}{U},"Trample
When Trench Gorger enters the battlefield, you may search your library for any number of land cards, exile them, then shuffle your library. If you do, Trench Gorger's power and toughness each become equal to the number of cards exiled this way.",Rare,['Leviathan'],6
Avatar of Woe,['B'],8.0,{6}{B}{B},"If there are ten or more creature cards total in all graveyards, Avatar of Woe costs {6} less to cast.
Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)
{T}: Destroy target creature. It can't be regenerated.",Rare,['Avatar'],5
Barren Moor,['B'],0.0,,"Barren Moor enters the battlefield tapped.
{T}: Add {B} to your mana pool.
Cycling {B} ({B}, Discard this card: Draw a card.)",Common,[],
Simic Signet,"['G', 'U']",2.0,{2},"{1}, {T}: Add {G}{U} to your mana pool.",Common,[],
Windfall,['U'],3.0,{2}{U},Each player discards his or her hand and draws cards equal to the greatest number a player discarded this way.,Uncommon,[],
Orzhov Signet,"['B', 'W']",2.0,{2},"{1}, {T}: Add {W}{B} to your mana pool.",Common,[],
Ruination Guide,['U'],3.0,{2}{U},"Devoid (This card has no color.)Ingest (Whenever this creature deals combat damage to a player, that player exiles the top card of his or her library.)Other colorless creatures you control get +1/+0.",Uncommon,"['Eldrazi', 'Drone']",2
Temple of the False God,[],0.0,,{T}: Add {2} to your mana pool. Activate this ability only if you control five or more lands.,Uncommon,[],
Vivid Meadow,['W'],0.0,,"Vivid Meadow enters the battlefield tapped with two charge counters on it.{T}: Add {W} to your mana pool.{T}, Remove a charge counter from Vivid Meadow: Add one mana of any color to your mana pool.",Uncommon,[],
Collective Voyage,['G'],1.0,{G},"Join forces — Starting with you, each player may pay any amount of mana. Each player searches his or her library for up to X basic land cards, where X is the total amount of mana paid this way, puts them onto the battlefield tapped, then shuffles his or her library.",Rare,[],
Crescendo of War,['W'],4.0,{3}{W},"At the beginning of each upkeep, put a strife counter on Crescendo of War.
Attacking creatures get +1/+0 for each strife counter on Crescendo of War.
Blocking creatures you control get +1/+0 for each strife counter on Crescendo of War.",Rare,[],
